graph algo p k cores seed v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kMM random 8 16 2 357059 2693762 40363749 12.546970 1.178834 48 32342 29108897395.00
fb_clusterA_full kMM random 8 32 0 357059 1347533 41709978 12.480617 0.937003 49 32352 29099939568.00
fb_clusterA_full kMM random 8 32 1 357059 1346507 41711004 12.389390 0.923544 49 32363 29095970325.00
fb_clusterA_full kMM random 8 32 2 357059 1346563 41710948 12.473230 0.954874 47 32358 29110320648.00
fb_clusterA_full kMM random 8 4 0 357059 10763443 32294068 13.964545 2.308517 48 32348 29095638524.00
fb_clusterA_full kMM random 8 4 1 357059 10771595 32285916 14.006627 2.298828 47 32354 29097224670.00
fb_clusterA_full kMM random 8 4 2 357059 10764721 32292790 14.121784 2.307134 47 32348 29088268374.00
fb_clusterA_full kMM random 8 8 0 357059 5384110 37673401 13.173946 1.466883 47 32327 29104618150.00
fb_clusterA_full kMM random 8 8 1 357059 5383848 37673663 13.141921 1.488170 48 32344 29110573962.00
fb_clusterA_full kMM random 8 8 2 357059 5383808 37673703 13.057520 1.494826 48 32334 29116081529.00
fb_clusterA_full kMM ukahip 4 16 0 357059 16013777 27043734 15.332651 3.080083 34 16344 17812431077.00
fb_clusterA_full kMM ukahip 4 16 1 357059 18784701 24272810 15.752661 3.764640 33 16344 17819644154.00
fb_clusterA_full kMM ukahip 4 16 2 357059 17038054 26019457 15.728758 3.487799 34 16334 17839699283.00
fb_clusterA_full kMM ukahip 4 32 0 357059 9692077 33365434 14.032164 2.520882 34 16337 17817243225.00
fb_clusterA_full kMM ukahip 4 32 1 357059 9696157 33361354 13.887680 2.351796 35 16333 17845257846.00
fb_clusterA_full kMM ukahip 4 32 2 357059 10467782 32589729 14.195863 2.751902 34 16338 17837759039.00
fb_clusterA_full kMM ukahip 4 4 0 357059 42965220 92291 15.116837 4.524996 33 16331 17825806584.00
fb_clusterA_full kMM ukahip 4 4 1 357059 41770833 1286678 15.153148 4.478527 34 16337 17832921310.00
fb_clusterA_full kMM ukahip 4 4 2 357059 42944638 112873 15.111656 4.504387 34 16334 17830031586.00
fb_clusterA_full kMM ukahip 4 8 0 357059 33446963 9610548 15.044046 4.178778 35 16333 17819981344.00
fb_clusterA_full kMM ukahip 4 8 1 357059 31863307 11194204 15.209745 3.845485 34 16337 17858068761.00
fb_clusterA_full kMM ukahip 4 8 2 357059 33466987 9590524 15.083645 3.996890 34 16341 17825488711.00
fb_clusterA_full kMM ukahip 8 16 0 357059 16013777 27043734 15.305571 4.395566 46 32347 29102196172.00
fb_clusterA_full kMM ukahip 8 16 1 357059 18784701 24272810 15.748737 5.422027 46 32331 29125030832.00
fb_clusterA_full kMM ukahip 8 16 2 357059 17038054 26019457 15.705630 5.109536 47 32352 29093116077.00
fb_clusterA_full kMM ukahip 8 32 0 357059 9692077 33365434 13.932668 4.182894 47 32360 29100680870.00
fb_clusterA_full kMM ukahip 8 32 1 357059 9696157 33361354 13.926995 3.669441 47 32350 29099459143.00
fb_clusterA_full kMM ukahip 8 32 2 357059 10467782 32589729 14.303705 4.061738 48 32346 29096138503.00
fb_clusterA_full kMM ukahip 8 4 0 357059 42965220 92291 15.110431 6.816643 48 32332 29099872265.00
fb_clusterA_full kMM ukahip 8 4 1 357059 41770833 1286678 15.272152 6.560991 48 32330 29088449973.00
fb_clusterA_full kMM ukahip 8 4 2 357059 42944638 112873 15.150356 6.591999 48 32354 29094268122.00
fb_clusterA_full kMM ukahip 8 8 0 357059 33446963 9610548 15.076710 6.256095 47 32343 29080389397.00
fb_clusterA_full kMM ukahip 8 8 1 357059 31863307 11194204 15.255170 5.721893 47 32334 29099369035.00
fb_clusterA_full kMM ukahip 8 8 2 357059 33466987 9590524 15.078491 6.024045 48 32346 29109855512.00
fb_clusterA_full kMM umetis 4 16 0 357059 15220882 27836629 14.513120 2.858961 33 16332 17851149656.00
fb_clusterA_full kMM umetis 4 16 1 357059 15220882 27836629 14.465678 2.930452 33 16332 17851149656.00
fb_clusterA_full kMM umetis 4 16 2 357059 15519405 27538106 14.513241 3.009309 35 16333 17842394596.00
fb_clusterA_full kMM umetis 4 32 0 357059 7338638 35718873 13.936935 2.077380 34 16339 17830319575.00
fb_clusterA_full kMM umetis 4 32 1 357059 7338638 35718873 14.312906 2.071724 34 16339 17830319575.00
fb_clusterA_full kMM umetis 4 32 2 357059 7406646 35650865 13.344390 2.173664 35 16336 17838427244.00
fb_clusterA_full kMM umetis 4 4 0 357059 43006010 51501 14.781969 4.530376 35 16336 17855974657.00
fb_clusterA_full kMM umetis 4 4 1 357059 43006010 51501 14.958393 4.544943 35 16336 17855974657.00
fb_clusterA_full kMM umetis 4 4 2 357059 43006181 51330 14.803531 4.537260 35 16339 17821356667.00
fb_clusterA_full kMM umetis 4 8 0 357059 23697579 19359932 15.555645 3.323267 36 16342 17819822949.00
fb_clusterA_full kMM umetis 4 8 1 357059 23697579 19359932 15.590615 3.258996 36 16342 17819822949.00
fb_clusterA_full kMM umetis 4 8 2 357059 24028573 19028938 15.574074 3.390381 33 16341 17829075511.00
fb_clusterA_full kMM umetis 8 16 0 357059 15220882 27836629 14.406910 4.340795 48 32346 29103314890.00
fb_clusterA_full kMM umetis 8 16 1 357059 15220882 27836629 14.517993 4.325433 48 32346 29103314890.00
fb_clusterA_full kMM umetis 8 16 2 357059 15519405 27538106 14.420878 4.357875 46 32345 29120353539.00
fb_clusterA_full kMM umetis 8 32 0 357059 7338638 35718873 13.927515 3.199228 50 32349 29113110310.00
fb_clusterA_full kMM umetis 8 32 1 357059 7338638 35718873 13.842900 3.424270 50 32349 29113110310.00
fb_clusterA_full kMM umetis 8 32 2 357059 7406646 35650865 13.349013 3.199945 47 32347 29096919672.00
fb_clusterA_full kMM umetis 8 4 0 357059 43006010 51501 14.738741 6.740310 46 32349 29103898821.00
fb_clusterA_full kMM umetis 8 4 1 357059 43006010 51501 14.737118 6.741904 46 32349 29103898821.00
fb_clusterA_full kMM umetis 8 4 2 357059 43006181 51330 14.755466 6.698991 48 32338 29098232425.00
fb_clusterA_full kMM umetis 8 8 0 357059 23697579 19359932 15.539287 4.845736 46 32359 29117743803.00
fb_clusterA_full kMM umetis 8 8 1 357059 23697579 19359932 15.546482 4.825337 46 32359 29117743803.00
fb_clusterA_full kMM umetis 8 8 2 357059 24028573 19028938 15.584822 4.846921 48 32357 29101057610.00
fb_clusterA_full kMM uwmetis 4 16 0 357059 3668695 39388816 12.717241 1.153684 35 16336 17848158301.00
fb_clusterA_full kMM uwmetis 4 16 1 357059 3668695 39388816 12.689094 1.161188 35 16336 17848158301.00
fb_clusterA_full kMM uwmetis 4 16 2 357059 3626390 39431121 12.605709 1.212793 33 16330 17856421628.00
fb_clusterA_full kMM uwmetis 4 32 0 357059 2274322 40783189 12.320002 1.073000 35 16336 17843894355.00
fb_clusterA_full kMM uwmetis 4 32 1 357059 2274322 40783189 12.350771 1.084556 35 16336 17843894355.00
fb_clusterA_full kMM uwmetis 4 32 2 357059 2254370 40803141 12.563682 1.307134 34 16327 17830823199.00
fb_clusterA_full kMM uwmetis 4 4 0 357059 11755650 31301861 14.013664 1.784316 34 16327 17840193955.00
fb_clusterA_full kMM uwmetis 4 4 1 357059 11755650 31301861 14.097658 1.794873 34 16327 17840193955.00
fb_clusterA_full kMM uwmetis 4 4 2 357059 11751086 31306425 14.091784 1.763004 34 16337 17852166987.00
fb_clusterA_full kMM uwmetis 4 8 0 357059 6502270 36555241 13.092590 1.347995 34 16335 17832386155.00
fb_clusterA_full kMM uwmetis 4 8 1 357059 6502270 36555241 13.617546 1.355472 34 16335 17832386155.00
fb_clusterA_full kMM uwmetis 4 8 2 357059 6440740 36616771 13.542361 1.344317 34 16331 17841111391.00
fb_clusterA_full kMM uwmetis 8 16 0 357059 3668695 39388816 12.551277 1.879567 47 32337 29114711497.00
fb_clusterA_full kMM uwmetis 8 16 1 357059 3668695 39388816 12.563904 1.884943 47 32337 29114711497.00
fb_clusterA_full kMM uwmetis 8 16 2 357059 3626390 39431121 12.526032 1.890435 46 32344 29112738268.00
fb_clusterA_full kMM uwmetis 8 32 0 357059 2274322 40783189 12.405963 1.897420 50 32347 29108677166.00
fb_clusterA_full kMM uwmetis 8 32 1 357059 2274322 40783189 13.571800 1.960285 50 32347 29108677166.00
fb_clusterA_full kMM uwmetis 8 32 2 357059 2254370 40803141 12.337805 2.089877 46 32341 29112917531.00
fb_clusterA_full kMM uwmetis 8 4 0 357059 11755650 31301861 14.007606 2.582990 46 32365 29109506474.00
fb_clusterA_full kMM uwmetis 8 4 1 357059 11755650 31301861 14.031663 2.579858 46 32365 29109506474.00
fb_clusterA_full kMM uwmetis 8 4 2 357059 11751086 31306425 14.059432 2.543435 44 32331 29111808445.00
fb_clusterA_full kMM uwmetis 8 8 0 357059 6502270 36555241 13.276354 2.042314 47 32342 29112701405.00
fb_clusterA_full kMM uwmetis 8 8 1 357059 6502270 36555241 13.247303 2.049606 47 32342 29112701405.00
