graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,524288,23756720,10.754336,24.591355,2124868,153137877724.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,0,32768,1520003,0.810543,0.314314,243060,18763506638.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,1,32768,1520003,0.945834,0.235614,243060,18763506638.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,kMM_1,16,2,32768,1520003,0.627243,0.248262,243060,18763506638.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,0,32768,1520003,0.785825,1.326383,243033,18803882840.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,1,32768,1520003,0.956827,1.252341,243031,18803880322.00
rmat_s15_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,2,32768,1520003,0.633562,0.999697,243034,18803881799.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,0,1048576,50135639,32.413007,8.594950,7499238,3030596943800.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,1,1048576,50135639,32.885062,8.857674,7499238,3030596943800.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,2,1048576,50135639,19.805629,8.835416,7499238,3030596943800.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,0,1048576,50135639,32.204578,106.782555,7499992,3039039830489.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,1,1048576,50135639,32.573558,108.440213,7500146,3039056451853.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,2,1048576,50135639,21.618019,69.736705,7500147,3039056045365.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,0,8388608,201194109,139.919300,82.592895,52083291,19099643739271.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,1,8388608,201194109,138.060995,82.886003,52083291,19099643739271.00
